text,label
"Wolfenstein II: The New Colossus для Switch - это еще один удивительный порт от Bethesda, который умудряется симпатично выглядеть и хорошо работать на портативной консоли Nintendo. Как и в случае с Doom, это прекрасная возможность поиграть в один из лучших проектов жанра  где угодно, без привязки к розетке и телевизору. А также шокировать ваших друзей, которые все еще думают, что на приставках Nintendo выходят лишь спрайтовые Марио. Если же вы предпочитаете играть дома на большом 4K-дисплее, то лучше купить версию для PC, PS4 PRO или Xbox One X.",1
"Desperados III – отличная тактическая игра с глубоким геймплеем, интересными возможностями и отсылками к ковбойской кинокласике, которая удачно возрождает самобытную серию и продолжает идеи, заложенные разработчиками в Shadow Tactics: Blades of the Shogun. Увлекательный игровой процесс, построенный как головоломка, заставляет думать наперед и импровизировать на ходу. Удобная система сохранения и быстрые загрузки помогают минимизировать раздражение даже в случае, если ваш рискованный план потерпел неудачу. Если вам нравятся тактические игры в реальном времени и вы любите вестерны, то пропускать эту игру не рекомендуется.",2
"Если подводить общий итог по сезону Marvel's Guardians of the Galaxy, то можно сказать, что игра напоминает американские горки со слабым первым эпизодом, отлично выполненным вторым, чуть сдающим третьим, наилучшим четвертым и достаточно ровным средним финалом. Если вы любите эпизодические приключения, то Marvel's Guardians of the Galaxy наравне с приквелом Life is Strange - одни из самых интересных проектов этого года.",2
"Dreamfall Chapters на PS4 вполне можно назвать Mighty No. 9 от мира адвенчур, который встает в один ряд с Syberia III. Red Thread Games банально не смогла совладать со своими амбициями, техническими сложностями и политико-общественными взглядами. Игру сложно воспринимать в качестве цельного произведения, так как она постоянно разваливается на фрагменты различного качества исполнения. В результате проект можно порекомендовать исключительно самым стойким фанатам оригинала, которые готовы пойти на все ради любимых героев, - даже терпеть один из самых неудачных портов на современных консолях - очередную антирекламу Unity.",0
"The Last Guardian - это одна из самых добрых и красивых игр, что мы когда-либо видели и одно из лучших приключений этого года. Сочетание великолепной анимации, деталей, окружения и сюжета с глубокими переживаниями дают просто фантастический эффект погружения. История мальчика и огромного зверя заставляет поверить в происходящее на экране и оказаться где-то посреди заброшенного замка, оставит след в вашем сердце. А шокирующая развязка с раскрытием мрачной тайны долины и трогательная концовка выжимают реки соленых слез. Даже несмотря на некоторые технические проблемы и шероховатости, это именно та игра, которую мы так долго ждали.",2
"Kirby's Blowout Blast – скучный и короткий проект, который мог бы стать бесплатным дополнением к Kirby: Planet Robobot, но продается как отдельная загружаемая игра. Весомого развития идей оригинальной механики так и не произошло, обещаемые интересные боссы оказались не более чем пустышкой. Конечно, проект способен скоротать пару вылазок в отхожие места, однако только при условии, что рядом не окажется газеты.",0
"При всех достоинствах Semispheres обладает одним значительным недостатком – игра слишком простая даже на поздних этапах истории, а сочетание различных способностей редко можно назвать достаточно серьезным испытанием даже для новичка. Авторы просто не используют весь придуманный арсенал в разных сочетаниях, чтобы сделать игру сложнее и интереснее. Остается надежда на DLC, которое пока даже не анонсировано. Впрочем, как средство для разгрузки перед сном или возможность отдохнуть между большими проектами эта игра от небольшой индии-студии практически незаменима.",2
"51 Worldwide Games - это не только отличный сборник, но и своего рода учебник по истории игр со всего света. Проект не поразит вас небывалой глубиной проработки, но точно станет прекрасным дополнением для любой вечеринки с друзьями и верным спутником во время утомительных путешествий.",1
"Call of Duty: Modern Warfare 2 Remastered - это попытка заработать быстрых денег в проблемный для индустрии период, когда большинство жителей планеты прячется в своих домах и квартирах. Сюжетная кампания проходится всего за пять часов, а мультиплеер отсутствует. Кроме того, в России и на Украине разработчики умудрились дополнительно кастрировать историю из-за удаления критически важной для сюжета миссии, что вместе с неровной графикой и другими проблемами проекта вызывает разочарование. Все же оригинальный MW2 заслуживает к себе такое же уважительное отношение, как и первый Modern Warfare.",1
"Скучное вступление, урезанные ролевые элементы, однообразный экшен, отсутствие интересных побочных заданий (кроме подай-принеси), плоские персонажи, средний перевод, провальные одинаковые концовки практически полностью уничтожают все те замечательные моменты, которые дарит игра. Эпик, Клинт Манселл, потрясающий художественный дизайн, значимость героев в общем сюжете и сопереживание не могут полностью оправдать всё то разочарование, которое принесла эта, к сожалению, завершающая часть истории капитана Шепарда.
Возможно, после массовых негодований рассерженных покупателей, которые можно увидеть сейчас в интернете, нас ждет переделанная концовка, но саму игру не в силах изменить ни один патч.",1
"LEGO DC Super-Villains – это все еще копание в той же самой песочнице, где под слоем белых песчинок уже появилось сверкающее в лучах прожекторов веселое собачье говно. Хоть авторы и постарались привлечь голливудских звезд, наполнить мир загадками, побочными заданиями и не побоялись попробовать тему суперзлодеев, итоговый проект не сильно отличается от прошлых игр в пластиковой вселенной. К сожалению, несмотря на симпатичную графику, после всех этих переодеваний не покидает ощущение, что ты играешь в одну и ту же бесконечную игру, которая после доения три раза в год просто кричит об отдыхе и перезагрузке. С другой стороны, если вам нравится серия и вы ищете неплохой семейный проект для прохождения с ребенком, то можете попробовать.",1
"Outer Wilds – это очень приятный и неожиданный сюрприз, созданный специально для фанатов приключенческого жанра. Интересные исследования, хорошие загадки и необычная подача истории способны затянуть на пару десятков часов.",2
"P.S. Мы хотим разыграть 50 ключей для Faeria на четыре боевых сундука и два сундука Пандоры среди наших читателей. Активировать ключи можно во внутриигровом магазине, который открывается сразу после прохождения обучения. Чтобы получить ключ, не забудьте заполнить свой профиль на Gamemag (аватар и по возможности прочие данные, например, PSN ID, Xbox или спецификации компьютера), поставьте “+” обзору в самом верху страницы, поделитесь данной статьей в Twitter или VK (либо Facebook) и оставьте комментарий со ссылкой на публикацию чуть ниже. Если желающих будет больше 50, то победителей выберем рандомайзером. Спасибо! Оставайтесь с Gamemag!",2
"Lollipop Chainsaw - это одна из тех игр, которая либо нравится сразу, либо вызывает бесконечные потоки ненависти.  Правда, в отличие от Shadows of the Damned здесь нет тупой беготни от возлюбленной, кривого управления и неудачной стрельбы. А значит: ничего вам не помешает окунуться в атмосферу безбашенного юмора и дизайна от Ганна и Суды, что само по себе, просто бесценно.",2
"Rage – это гибридный проект, который страдает от стандартных проблем id Software, которые через семь лет после DOOM стали дурным тоном. Размытие надписей, отсутствие физики, исчезающие предметы, повторяющиеся локации и общая линейность повествования со слитым концом на одной чаше весов и веселые гонки с разнообразными режимами, неплохой мультиплеер, уникальный подход к оружию, и великолепная анимация персонажей на другой: отправляют Rage в область тех игр, что принято брать в аренду или покупать на распродаже по 20 долларов в унылое межсезонье.",1
"I Am Setsuna для Nintendo Switch - все та же лишенная удовольствия игра, которая разочаровывает вторичностью истории, бесполезной системой выбора ответов в диалогах и общей примитивностью геймплея. Красивые эффекты снега и с любовью нарисованные пейзажи вместе с атмосферным музыкальным сопровождением, несмотря на тиражирование, немного вытягивают проект. Но даже этого, скорее всего, будет недостаточно, чтобы заставить вас пройти игру до финальных титров.",1
"Fallout 4 – это игра, от которой действительно сложно оторваться. Очевидная эволюция третьей части - с серьезным исследовательским элементом, огромным миром с массой секретов и неожиданных открытий, интересным сюжетом и отличными квестами, что вместе с глубокой системой настройки персонажа и возможностью создавать не только предметы, но и целые поселения не оставят никого равнодушным. Если вы уже прошли Bloodborne и The Witcher 3: Дикая Охота, то новое произведение Bethesda – ваша следующая покупка.",2
"Такую консервативность можно поставить автору в вину или даже охарактеризовать словом «застой». Но только если не делать скидки на общее положение вещей в жанре, где подобное «постоянство» давным-давно является нормой. В любом случае, у владельцев WiiU выбора немного: если вы фанат Nintendo – то пропускать наиболее полную и впечатляющую летопись ее игровой истории нельзя никак; если фанат ярких игр, аркад, битэмапов – то для вас в новом Smash контента высочайшего качества на десятки часов игры; и даже если вы закоренелый про-файтер  – я бы все-таки рекомендовал попробовать оригинальную механику Smash, столь редкой в жанре категории «easy to play, hard to master».",2
"Sine Mora – это очень современный Shooter с уникальной историей, потрясающей графикой, несколькими видами самолетов и вооружений, а также специальными режимами для самых взыскательных игроков. Единственное, чего не хватает Sine Mora для того, чтобы стать конкурентом CAVE – это настоящего японского безумия и динамизма сражений. Все же для игры жанра Bullet Hell, Sine Mora слишком медленная, вычищенная и лишенная многопланового действия, где миллионы пуль смешиваются в огне и фоновых взрывах полноценного сражения.",2
"Dread Nautical – это пример того, как отличная концепция может превратиться в такое же блистательное разочарование. Игра сводится к сбору предметов, поиску выживших, уничтожению босса или скопления противников и очередной перезагрузке. И все это на фоне кривой камеры, спорной графики и плохого баланса персонажей и амуниции. Прибавьте к этому совершенно нестрашный мир, где есть сбор страниц Некрономикона, но нет места липкому ужасу Лавкрафта, и вы получите проходной продукт, в который можно не играть.",0
"Hyrule Warriors Legends на New Nintendo 3DS и на старой 3DS ощущается как две разные игры. Если вы хотите насладиться грандиозными сражениями с сотней противников на экране при стабильном фреймрейте и симпатичной графике, то вам следует перейти на новую консоль. Игра на старой 3DS вряд ли вызовет приятные эмоции, поэтому в этом случае можете смело вычесть 2-3 балла из итоговой оценки.",1
"Portal 2 – это удачное продолжение оригинала, уступающее ему в сложности головоломок и использовании физики, но предлагающее взамен нечто большее – кооперативный режим игры на двух человек. Отличный сюжет и юмор проекта разбиваются об слишком однообразную механику, филлеры, отсутствие множественных решений, ограничение свободы, малое использование физики и затянутость игрового процесса. Portal 2 может являться абсолютным шедевром только для тех, кто провел последние десять лет в пещере на необитаемом острове с Томом Хенксом. Все остальные должны просто получить удовольствие от еще одной хорошей игры с потрясающими персонажами и сюжетом.",2
"Iron From Ice – худший первый эпизод от Telltale Games за всю историю компании, а ориентация на фанатов книг и зрителей сериала (играть без знания мира Игры Престолов – это как смотреть фильм с середины) обещает в будущем еще больше фансервиса. Конечно, можно верить в позитивные изменения, но анонс второго эпизода пока не вызывает надежд на лучшее.",0
"Dark Souls III - Ashes of Ariandel - это отличное дополнение, которое порадует поклонников серии интересной отсылкой к оригиналу, блестящей битвой с боссом и новой порцией сюжета. Если бы не излишняя скоротечность, то ему можно было бы поставить на один балл выше. Но даже так пропускать его не рекомендуется.",2
"Sally Face. Episode 5 - Memories and Dreams – это стильное приключение с интересными дизайнерскими решениями и неплохими мини-играми, которое страдает от слишком неочевидных математических задач и повторяющихся головоломок. Ну и история потеряла свою оригинальную стилистику, превратившись в какой-то набор штампов и предсказуемых сюжетных решений. И это на фоне арта кажется разочаровывающим.",1
"The Walking Dead: Episode 3: Long Road Ahead – это переломный момент серии, лишающий игрока одного из важных персонажей и добивающий оставшихся, а заодно окончательно дающий понять, что у игры отсутствует заявленная нелинейность, зато достаточно много проблем с движком. Посмотрим, что будет с четвертой серией в октябре.",1
"Kentucky Route Zero — это игра, о которой стоит как можно меньше рассказывать, чтобы не испортить многочисленные сюжетные сюрпризы и дизайнерские решения. Игра, которую можно пройти несколько раз и каждый раз открывать какой-то потаенный смысл, и один из немногих проектов, который заставит вас думать о сюжетных связках и интерпретациях еще много дней после прохождения двух эпизодов серии и в ожидании опоздавшего 3-его акта.",2
"“Что скрывает тьма” – это наглядная демонстрация того, что не все странные концепции годятся для сурового мира VR. Конечно, в игре есть несколько фрагментов, которые могут доставить глазам немного наслаждения, но по большей части перед нами низкобюджетный шлак со средним эффектом присутствия, спрятанный за обложку продукта “не для всех” - концептуального приключения, от которого начинает тошнить уже в первые десять минут игры.",0
"Steel Rats – это свежий взгляд на жанр в обертке из мрачной атмосферы заката цивилизации и мчащегося сквозь толпы врагов отряда отважных байкеров. Если бы авторы проекта уделили больше внимания сюжету и навигации, то игра могла бы получить и более высокую оценку.",2
"Tales of the Neon Sea – это в своей основе действительно увлекательное и интересное приключение с сильными персонажами и запутанным сюжетом, которое теряет свой первоначальный запал к третьему акту и вырождается в невероятно трудную и унылую головоломку. Резкий сюжетный обрыв и окончание истории, которого придется ждать полгода, явно не добавляет вам желания сделать скорую покупку сейчас даже за 300 рублей в Steam. Если вы фанат сеттинга и хотите попробовать нечто новое в узком жанре, то лучше дождитесь финальной и максимально отполированной версии продукта, если она когда-нибудь выйдет.",1
"Warhammer 40.000: Space Marine – это продукт, рассчитанный исключительно на фанатов оригинальной вселенной, которые увидят в многочисленных диалогах глубокий смысл, а в повторяющихся действиях грандиозные сражения между силами добра и зла. Для всех остальных Warhammer 40.000: Space Marine – это странный экшен, похожий на смесь двух GoW с однообразной механикой и абсолютно провальным финалом.",1
"У Valorant качественный и чистый релиз без проблем. Игра определенно порадует фанатов жанра соревновательного FPS. Киберспортивный потенциал шутера только закрепился со временем, и уже намечаются первые турниры. Однако высокий порог вхождения требует серьезной тренировки скилла. Но от этого игра становится только интересней.",2
"Основной сюжет First of the North Star: Lost Paradise достаточно неплох со своими твистами и сюрпризами, но бледные и скучные повторяющиеся сражения с гопотой, кривая езда по лишенной интереса пустоши и отсталая графика будут всячески мешать вам полюбить эту историю. И уж сильно вряд ли вы захотите выполнять десятки побочных заданий или отстраивать свой ночной клуб – для этого есть куда более интересные проекты.",1
"Система прокачки параметров, ранее вызвавшая вопросы, в итоге оказалась не так страшна для игрового баланса. Увеличение отдельных пунктов силы или защиты практически не играет роли в онлайновых сессиях, а некоторые источники и вовсе утверждают, что она не работает в них вообще. По-видимому, данная функция была призвана в большей мере облегчить прохождение сюжетной кампании на последних уровнях сложности.",1
"Blue Reflection – неплохая замена очередной Atelier с симпатичным героинями, более глубокими характерами персонажей и интересным сюжетом. Если бы не паузы в игровом процессе, проблемы с детализацией, повторяющиеся задания и битвы, то эта игра заслужила бы совсем другую оценку. А так перед вами очень бюджетный и нишевый проект на любителя.",1
"Конечно, в мире Huntdown можно найти недостатки, вроде примитивного ИИ, отсутствия апгрейдов, похожих друг на друга героев или заучивания тех же паттернов в сражениях с боссами, но это нисколько не мешает получать удовольствие от очень яркого и хорошо поставленного экшена.",2
"Безусловно, эта игра не станет лучшим файтингом года, но в этом ее очарование – ведь она даже и не пытается сделать этого. На фоне свеженького Mortal Kombat она выглядит фановым времяпрепровождением – без задротства в комбо и фаталити. Это игра на несколько вечеров для тех, кто хочет безудрежного веселья, но Dance Central с хитами Lady Gaga уже не доставляет прежнего удовольствия. В какой-то момент и она взбесит, но оставит о себе приятное впечатление. У этой игры есть своя изюминка, которая позволит вам надолго ее запомнить.",1
"Redeemer: Enhanced Edition оставляет смешанные впечатления. Разработчики попытались создать простой и задорный кооперативный beat ‘em up старой школы, но множество технических проблем, плохая анимация и скучные схватки с боссами мешают получать истинное удовольствие от геймплея. Игра вполне может понравиться фанатам жанра, которые закроют глаза на недостатки, но всех остальных вряд ли заинтересует.",1
"Armored Core: Verdict Day – это проект для поклонников прошлой части, с рядом позитивных сетевых улучшений и сведенным к нулю однопользовательским режимом. Враждебность к новичкам внутренней структуры игры и общая кривость управления, не способствуют увеличению фан базы. А малое количество игроков и высокий уровень их мастерства практически не оставляют шансов неофитам. Конечно, Armored Core: Verdict Day можно полюбить, но это уже называется садомазохизм.",1
"Mario + Rabbids: Битва За Королевство - одна из самых неожиданных и красивых игр этого года, которая увлекает глубоким тактическим геймплеем с интеграцией ролевых и приключенческих элементов. Немного утомляют задания с бесконечным появлением врагов на достижение контрольной точки и условности контратаки, которая всегда попадает в цель. Атмосферная музыка от ветерана Rare вместе с юмором и отличным переводом на русский язык заслуживают отдельной похвалы. Если у вас уже есть гибридная консоль от японского производителя, то пропускать данный проект категорически не рекомендуется. А для любителей пошаговой тактики это и вовсе станет поводом купить Nintendo Switch.",2
"Dead Island – исключительно многопользовательский проект, рассчитанный на кооперативное прохождение. Общая монотонность и сюжетные провалы в этом режиме компенсируются хорошо продуманной системой взаимодействия между игроками и  достойным вознаграждением. Если вы давно искали достойный проект для кооперативных переживаний - Dead Island самый лучший кандидат. Если вы нацелены на одиночную кампанию – вокруг слишком много проектов, что бы потратить 35 часов реального времени на монотонное истребление врагов. Найдите себе девушку/парня и посадите, наконец, дерево. Клен.",1
